_id,note,tight_contact,NO_ppm,O2_vol%,SO2_ppm,H2O_ppm,soot_supplier,soot_name,soot_surface_area,mass_soot,mass_catalyst,soot_to_catalyst_mass_ratio,total_mass_g,mass_silica_beads,ramp_rate_C_min,start_temp,gas_flow_ml_min,soot_oxidation_T_max,material_id,doi,has_NOx,has_soot,temperature,soot_oxidation_co_concentration_ppm,soot_oxidation_conversion,soot_oxidation_co2_concentration_%,no2_%_of_nox,NO2_ppm,soot_oxidation_co2_concentration_ppm,no_ppm,no2_ppm,nox_ppm,total_nox_conversion_%,soot_oxidation_co2_selectivity,soot_oxidation_cox_concentration_ppm,conversion_calculated_from,soot_oxidation_cox_concentration_%,n2_ppm
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,476.8983801138298,,,,40.178417787438306,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,496.3491754633458,,,,37.030294796902595,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,515.6856545215742,,,,34.39297196938821,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,536.9922654083767,,,,32.18856133677488,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa2,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,True,350.0,19.585509976877617,1.7011597360158903,0.003689225262694833,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa2,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,True,400.0,37.27412862892866,3.649003652207343,0.021913398186380852,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa2,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,True,450.0,101.3231138134795,11.603767540206318,0.11755131422401292,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa2,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,True,500.0,183.80577203048728,29.775100916255525,0.24187520620669659,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa2,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,True,550.0,212.28483343324484,67.31915166271544,0.3632057267973725,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa2,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,True,600.0,14.871114156033215,97.16153008265522,0.08159486507833352,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa2,soot_oxidation_with_no,0.0,550.0,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,True,650.0,1.4601353087265494,99.02287435125264,0.001163755611321622,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa3,soot_oxidation_without_no,0.0,,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,False,True,350.0,14.442720455133184,1.6130615450053991,0.009626288659793814,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa3,soot_oxidation_without_no,0.0,,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,False,True,400.0,20.39048357900181,2.2609037070968183,0.01223582474226804,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa3,soot_oxidation_without_no,0.0,,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,False,True,450.0,40.67752779932764,4.394202139842281,0.028685567010309276,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa3,soot_oxidation_without_no,0.0,,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,False,True,500.0,82.85492629945695,11.140922029905441,0.10614046391752575,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa3,soot_oxidation_without_no,0.0,,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,False,True,550.0,115.63227307990691,31.69518699080587,0.24701675257731956,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa3,soot_oxidation_without_no,0.0,,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,False,True,600.0,240.78096715800362,68.79560252593005,0.3085051546391752,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa3,soot_oxidation_without_no,0.0,,10.0,,,Degussa,Printex-U,,0.005,0.045,1:9,0.05,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,False,True,650.0,295.88828549262996,94.42463108987992,0.11128221649484535,,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,220.45531935593715,,,,12.85332608794095,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,239.72369509169624,,,,12.359733731829914,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,260.16442087853284,,,,11.445002943440656,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,279.593325874398,,,,10.924240365892317,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,299.6643479106873,,,,10.562876420776163,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,320.76178430704863,,,,10.718652357016714,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,339.9255727975872,,,,11.395190870805592,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa4,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1d,10.1016/j.apcatb.2017.12.048,True,False,359.99416257235976,,,,12.481999728297794,,,,,,,,,,,
